ID,course1,course2
f81cc449798c2d8971612dc9a749ad2a,Высокопроизводительные вычисления,-
dbcac463fe0b6294743107a9e74356c5,???,-
68f1b5165e9e310fcf920fb903117061,Моделирование временных рядов,Сбор и обработка данных с помощью краудсорсинга
b4f1f195bd1bc63490a7bc42275a71cd,Высокопроизводительные вычисления,-
54b211907aac0ebbb8f853ab1fc4eecb,Сбор и обработка данных с помощью краудсорсинга,-
c7544f6c00a5164efdef675410d62e94,Язык SQL,-
f2ed8115db45ef795ced2701fa86515d,Statistical Learning Theory,-
40b18d40197e3db66312a026e06b8ff1,???,-
851497aadac83e844753bb3b2163c79b,Высокопроизводительные вычисления,-
ddea5295ac96e74f05982e47c7ab4ff4,Моделирование временных рядов,-
227347077a7d1d0544ddf5643b97cf8c,Матричные вычисления,-
73fc0f1b300e6e49167b5f771586fe20,Высокопроизводительные вычисления,-
8aa0f1b7331b49464174b02cd693be52,Теория баз данных,-
5d9b916c90c54a5cba29b2618a029e66,Сбор и обработка данных с помощью краудсорсинга,-
6388c7920a7d454d2db81430f1f231c4,Матричные вычисления,-
abceddfa2fc4eae8cff4a4e712abb3fb,Моделирование временных рядов,-
6541d659f05e45043d1b65e98e16a718,Матричные вычисления,-
45bb9abd8d10c9b079317e6807b53ea9,Высокопроизводительные вычисления,-
5a66e3b77559d14dd20fc4df99671688,Язык SQL,-
8a1162ce3c94d8974210a24f4b4f5f74,Сбор и обработка данных с помощью краудсорсинга,-
3d67beeab64f7fe112a8d9e41efbe916,Безопасность компьютерных систем,-
813663487952e66e7c39d29b0931206d,Язык SQL,-
1c91e6c5375cf4a1cba48bdca79f7a78,Сбор и обработка данных с помощью краудсорсинга,-
a1184a8dbbf9a7418b634339bed7e9b1,Сбор и обработка данных с помощью краудсорсинга,-
7bf79897c5645954846e2e03ec803887,???,-
7e844607673355cefa63252f558b69cb,Высокопроизводительные вычисления,-
79d226799eb1a34d5083fcc0ca933952,Безопасность компьютерных систем,-
86c24daaa62246142d46ee58534a65e0,Теория баз данных,-
f941beb89ecc5c59076bcfa79691116c,Принятие решений в условиях риска и неопределённости,Теория баз данных
162cbdeec1b766ab857df93cdf9d65f4,Язык SQL,-
addc4cb9d1641fa3f5dc02329c7e8d6c,Моделирование временных рядов,-
4ab8340cfb08da86c14a2cc3c3fad908,Statistical Learning Theory,-
2b844a1be49f4ed2d578fb50b752883b,Матричные вычисления,-
b75b5f8abebf7faf4adbb6247d6d03bb,Statistical Learning Theory,???
95cf121698ebc89ac0cf74625d714d1d,Безопасность компьютерных систем,-
bc4974fa622838af7586a7b67d1f3a28,Высокопроизводительные вычисления,-
d5557a9bcd58a786fa8d5aab48b82ddf,Безопасность компьютерных систем,-
6a93b58f867db41e822a03c26c1bd428,Принятие решений в условиях риска и неопределённости,-
47e2d8bbb630bc2d9b3fbf98fe77cffb,Сбор и обработка данных с помощью краудсорсинга,-
5ab47e4eef1a7c1899da4da200049038,Матричные вычисления,Моделирование временных рядов
f7f123322f77fd451a30ed4979c323fc,Язык SQL,-
840e108d7366fbf4f985f267c74ad523,Высокопроизводительные вычисления,-
efc406545c2b0e958ec89b4c1e4f7a28,???,-
cef7df6fa798b759b2a5763b7d0c5d38,Матричные вычисления,-
04f9a2dd035a040318ecd064959df3a0,Безопасность компьютерных систем,-
c7f617262a8d9350bcbba27f6d65d86a,Высокопроизводительные вычисления,-
bbc73542db4946bde4d115b4dd944427,Высокопроизводительные вычисления,-
b5548f676fbdd51ea08b8c3cc6c81105,???,-
1386d00c9c8229c2be3c0956949ee122,Statistical Learning Theory,-
c154bbf18efdd4d760e52155eaa87929,Сбор и обработка данных с помощью краудсорсинга,Высокопроизводительные вычисления
4d7035f3a6d0c55c4fbcf4031679545a,Язык SQL,-
7a21ef645ecb42198be493dd65320e78,Принятие решений в условиях риска и неопределённости,-
bd416140ecdb32b6dbd7f40820bf63b1,Теория баз данных,-
e6f5eb76b34e7ab7bac753e6cb0a2279,Теория баз данных,-
1341f488fae5f1ccf164960fd6506cd0,Язык SQL,-
04bcb5c9d23813ffa940e1febb27fadc,Теория баз данных,-
9d19b0d5f4fc8d7edc2258406f872c4e,Безопасность компьютерных систем,-
d555d2805e1d93d4f023e57dc4c8f403,Глубинное обучение в обработке звука,Байесовские методы машинного обучения
253bbe1a2021d0404712a1e4acd22939,Statistical Learning Theory,-
881b1a6fda195b354ae2edb396a69f5d,Анализ неструктурированных данных,Глубинное обучение в обработке звука
5a9b8ac11ad05b39a58b0e04a263bf4c,Statistical Learning Theory,Глубинное обучение в обработке звука
1bbbfae51794b83c769b634be8da7b8d,Анализ неструктурированных данных,-
8c3aa7371731bef999519c3de2c47423,Анализ неструктурированных данных,-
1b7e1b30238f393811a2b48c6f6a060f,Высокопроизводительные вычисления,-
d670dfbe253658a4e427a5569c59de9e,Высокопроизводительные вычисления,-
3a7326c9e355a67d3805824ca34c4bc5,Statistical Learning Theory,Высокопроизводительные вычисления
2ca6917be428f8b84f6f15cdcbea2143,Анализ неструктурированных данных,Глубинное обучение в обработке звука
3e88c8d53bcd73595d2bbcdd8c51c1bf,Байесовские методы машинного обучения,Сбор и обработка данных с помощью краудсорсинга
308ec2ced0092de5474a1a8f4c0bfcfd,Высокопроизводительные вычисления,-
8e8d87fd686122d2c061d7b1eea2d3c5,Высокопроизводительные вычисления,-
5d1deb0ae3a69348a018881ac785fd90,Высокопроизводительные вычисления,Statistical Learning Theory
e242616383e4cb90672c3dbcf146bf3b,Безопасность компьютерных систем,-
e22f8203911170e6b68b1b88cf85fee2,Высокопроизводительные вычисления,-
e0fceae1e285f737630bb6123a1bd85d,Высокопроизводительные вычисления,???
276e2ccf4903d4ddf856b20a2b08394e,Statistical Learning Theory,Байесовские методы машинного обучения
